index,ATR_mult,ATR_num,BB_std_dev,BB_window,total_R
0,1.5,15,1.0,14,-35.827
1,2.0,15,1.0,14,-25.005
2,3.0,15,1.0,14,-20.547
3,1.0,15,1.0,14,-43.868
4,2.5,15,1.0,14,-21.511
5,1.0,15,1.4,14,-31.592
6,1.5,15,1.4,14,-26.254
7,2.0,15,1.4,14,-20.607
8,2.5,15,1.4,14,-18.817
9,3.0,15,1.4,14,-15.763
10,2.0,15,1.8,14,-13.902
11,1.0,15,1.8,14,-18.305
12,1.5,15,1.8,14,-15.572
13,2.5,15,1.8,14,-12.655
14,3.0,15,1.8,14,-8.921
15,1.0,15,2.4,14,-7.568
16,1.5,15,2.4,14,-1.213
17,2.0,15,2.4,14,-1.634
18,2.5,15,2.4,14,-0.807
19,3.0,15,2.4,14,-2.283
20,1.0,15,3.0,14,-1.972
21,2.0,15,3.0,14,-1.576
22,1.5,15,3.0,14,-1.315
23,2.5,15,3.0,14,-1.261
24,3.0,15,3.0,14,-1.051
25,2.5,15,1.0,18,-14.17
26,1.5,15,1.0,18,-24.045
27,1.0,15,1.0,18,-31.145
28,2.0,15,1.0,18,-18.494
29,3.0,15,1.0,18,-14.251
30,1.0,15,1.4,18,-37.258
31,1.5,15,1.4,18,-19.241
32,2.0,15,1.4,18,-13.746
33,2.5,15,1.4,18,-12.073
34,3.0,15,1.4,18,-12.229
35,1.0,15,1.8,18,-26.561
36,1.5,15,1.8,18,-23.559
37,2.0,15,1.8,18,-20.198
38,2.5,15,1.8,18,-17.795
39,3.0,15,1.8,18,-15.857
40,1.0,15,2.4,18,-19.801
41,1.5,15,2.4,18,-10.364
42,2.0,15,2.4,18,-8.619
43,2.5,15,2.4,18,-6.488
44,3.0,15,2.4,18,-5.524
45,1.0,15,3.0,18,-6.67
46,2.0,15,3.0,18,-5.266
47,1.5,15,3.0,18,-4.821
48,2.5,15,3.0,18,-4.642
49,3.0,15,3.0,18,-4.144
50,2.5,15,1.0,26,-13.997
51,1.0,15,1.0,26,-29.084
52,1.5,15,1.0,26,-17.267
53,2.0,15,1.0,26,-14.637
54,3.0,15,1.0,26,-11.034
55,1.0,15,1.4,26,-46.387
56,1.5,15,1.4,26,-30.041
57,2.0,15,1.4,26,-23.333
58,2.5,15,1.4,26,-17.28
59,3.0,15,1.4,26,-14.159
60,1.0,15,1.8,26,-31.722
61,1.5,15,1.8,26,-21.142
62,2.0,15,1.8,26,-17.296
63,2.5,15,1.8,26,-10.074
64,3.0,15,1.8,26,-7.032
65,1.0,15,2.4,26,-15.644
66,1.5,15,2.4,26,-7.081
67,2.0,15,2.4,26,-8.571
68,2.5,15,2.4,26,-7.011
69,3.0,15,2.4,26,-4.647
70,1.0,15,3.0,26,-5.324
71,1.5,15,3.0,26,0.23
