index,ATR_mult,ATR_num,fast_MA,slow_MA,use_fast_SMA,use_slow_SMA,total_R
0,0.6,15,9,30,1,1,25.659
1,3.0,15,9,30,1,1,9.49
2,1.0,15,9,30,1,1,26.825
3,1.5,15,9,30,1,1,18.388
4,2.0,15,9,30,1,1,14.235
5,1.0,15,18,30,1,1,4.561
6,0.6,15,18,30,1,1,8.922
7,1.5,15,18,30,1,1,8.167
8,2.0,15,18,30,1,1,6.546
9,3.0,15,18,30,1,1,3.019
10,0.6,15,28,30,1,1,28.782
11,1.0,15,28,30,1,1,14.259
12,2.0,15,28,30,1,1,8.122
13,1.5,15,28,30,1,1,10.805
14,3.0,15,28,30,1,1,3.658
15,0.6,15,9,40,1,1,-3.723
16,1.0,15,9,40,1,1,1.716
17,1.5,15,9,40,1,1,6.135
18,2.0,15,9,40,1,1,6.709
19,3.0,15,9,40,1,1,4.688
20,0.6,15,18,40,1,1,20.321
21,1.0,15,18,40,1,1,10.628
22,1.5,15,18,40,1,1,11.138
23,3.0,15,18,40,1,1,4.148
24,2.0,15,18,40,1,1,7.982
25,1.0,15,28,40,1,1,1.145
26,0.6,15,28,40,1,1,-8.738
27,1.5,15,28,40,1,1,3.17
28,3.0,15,28,40,1,1,1.268
29,2.0,15,28,40,1,1,2.403
30,0.6,15,34,40,1,1,-0.291
31,1.0,15,34,40,1,1,-2.535
32,1.5,15,34,40,1,1,0.381
33,3.0,15,34,40,1,1,2.692
34,2.0,15,34,40,1,1,-0.528
35,0.6,15,9,60,1,1,-7.962
36,1.5,15,9,60,1,1,-5.579
37,3.0,15,9,60,1,1,5.633
38,1.0,15,9,60,1,1,-8.489
39,2.0,15,9,60,1,1,4.964
40,0.6,15,18,60,1,1,12.718
41,1.5,15,18,60,1,1,5.15
42,1.0,15,18,60,1,1,7.606
43,2.0,15,18,60,1,1,1.257
44,3.0,15,18,60,1,1,1.518
45,0.6,15,28,60,1,1,12.061
46,1.0,15,28,60,1,1,5.97
47,1.5,15,28,60,1,1,3.596
48,2.0,15,28,60,1,1,2.513
49,3.0,15,28,60,1,1,2.728
50,1.0,15,34,60,1,1,-3.316
51,0.6,15,34,60,1,1,-1.011
52,1.5,15,34,60,1,1,-2.324
53,2.0,15,34,60,1,1,-3.057
54,3.0,15,34,60,1,1,-1.794
55,0.6,15,43,60,1,1,16.599
56,1.0,15,43,60,1,1,13.372
57,1.5,15,43,60,1,1,7.077
58,2.0,15,43,60,1,1,4.576
59,3.0,15,43,60,1,1,4.739
60,0.6,15,9,70,1,1,14.487
61,1.0,15,9,70,1,1,10.698
62,3.0,15,9,70,1,1,2.643
63,1.5,15,9,70,1,1,7.363
64,2.0,15,9,70,1,1,5.032
65,0.6,15,18,70,1,1,14.114
66,1.0,15,18,70,1,1,9.232
67,3.0,15,18,70,1,1,0.706
68,1.5,15,18,70,1,1,5.526
69,2.0,15,18,70,1,1,2.227
70,0.6,15,28,70,1,1,7.211
71,1.0,15,28,70,1,1,3.511
72,1.5,15,28,70,1,1,0.83
73,2.0,15,28,70,1,1,0.593
74,3.0,15,28,70,1,1,1.216
75,1.5,15,34,70,1,1,-4.736
76,0.6,15,34,70,1,1,-10.527
77,2.0,15,34,70,1,1,-3.992
78,1.0,15,34,70,1,1,-6.764
79,3.0,15,34,70,1,1,-0.924
80,0.6,15,43,70,1,1,28.95
81,1.0,15,43,70,1,1,15.524
82,1.5,15,43,70,1,1,10.349
83,2.0,15,43,70,1,1,6.523
84,3.0,15,43,70,1,1,3.712
85,0.6,15,9,90,1,1,-12.392
86,1.0,15,9,90,1,1,-9.577
87,1.5,15,9,90,1,1,-8.024
88,2.0,15,9,90,1,1,-4.611
89,3.0,15,9,90,1,1,-3.391
90,0.6,15,18,90,1,1,-8.071
91,1.5,15,18,90,1,1,-4.787
92,1.0,15,18,90,1,1,-6.403
93,2.0,15,18,90,1,1,-5.821
94,3.0,15,18,90,1,1,-4.836
95,0.6,15,28,90,1,1,-16.339
96,1.0,15,28,90,1,1,-7.656
97,1.5,15,28,90,1,1,-5.947
98,2.0,15,28,90,1,1,-3.943
99,3.0,15,28,90,1,1,-3.315
100,1.5,15,34,90,1,1,-2.232
101,1.0,15,34,90,1,1,-6.738
102,0.6,15,34,90,1,1,-10.013
103,2.0,15,34,90,1,1,-1.956
104,3.0,15,34,90,1,1,-3.0
105,1.0,15,43,90,1,1,-6.124
106,0.6,15,43,90,1,1,-8.279
107,1.5,15,43,90,1,1,-2.585
108,2.0,15,43,90,1,1,-2.201
109,3.0,15,43,90,1,1,-3.413
110,1.0,20,9,30,1,1,25.921
111,1.5,20,9,30,1,1,17.801
