index,ATR_mult,ATR_num,MA,use_SMA,total_R
0,1.5,50,10,1,-18.24
1,2.0,50,10,1,-10.769
2,3.0,50,10,1,-7.18
3,0.6,15,13,1,-0.488
4,1.5,15,13,1,-2.237
5,1.0,15,13,1,-1.512
6,2.0,15,13,1,-1.678
7,3.0,15,13,1,-1.118
8,0.6,20,13,1,-0.768
9,1.0,20,13,1,-1.753
10,1.5,20,13,1,-2.482
11,2.0,20,13,1,-1.861
12,3.0,20,13,1,-1.241
13,0.6,30,13,1,-4.063
14,1.5,30,13,1,-2.674
15,2.0,30,13,1,-2.006
16,1.0,30,13,1,-1.913
17,3.0,30,13,1,-1.337
18,1.0,40,13,1,-2.098
19,0.6,40,13,1,-4.387
20,2.0,40,13,1,-2.128
21,1.5,40,13,1,-2.837
22,3.0,40,13,1,-1.418
23,0.6,50,13,1,-4.587
24,2.0,50,13,1,-2.205
25,1.0,50,13,1,-2.22
26,1.5,50,13,1,-2.94
27,3.0,50,13,1,-1.47
28,0.6,15,16,1,-5.112
29,1.0,15,16,1,-5.07
30,1.5,15,16,1,-3.249
31,2.0,15,16,1,-2.437
32,0.6,20,16,1,-4.003
33,3.0,15,16,1,-1.625
34,1.0,20,16,1,-4.476
35,2.0,20,16,1,-2.203
36,1.5,20,16,1,-2.938
37,3.0,20,16,1,-1.469
38,0.6,30,16,1,-2.806
39,1.5,30,16,1,-2.605
40,1.0,30,16,1,-3.824
41,2.0,30,16,1,-1.953
42,3.0,30,16,1,-1.302
43,0.6,40,16,1,-2.491
44,1.0,40,16,1,-3.664
45,2.0,40,16,1,-1.915
46,3.0,40,16,1,-1.277
47,1.5,40,16,1,-2.554
48,0.6,50,16,1,-2.341
49,1.0,50,16,1,-3.588
50,3.0,50,16,1,-1.27
51,1.5,50,16,1,-2.541
52,2.0,50,16,1,-1.906
53,0.6,15,19,1,0.783
54,1.0,15,19,1,-1.664
55,2.0,15,19,1,-1.587
56,1.5,15,19,1,-2.116
57,3.0,15,19,1,-1.058
58,0.6,20,19,1,0.848
59,1.0,20,19,1,-1.676
60,1.5,20,19,1,-2.197
61,2.0,20,19,1,-1.647
62,3.0,20,19,1,-1.098
63,0.6,30,19,1,0.862
64,1.0,30,19,1,-1.711
65,1.5,30,19,1,-2.294
66,2.0,30,19,1,-1.721
67,3.0,30,19,1,-1.147
68,0.6,40,19,1,0.606
69,1.0,40,19,1,-1.876
70,1.5,40,19,1,-2.436
71,2.0,40,19,1,-1.827
72,0.6,50,19,1,1.1
73,3.0,40,19,1,-1.218
74,1.0,50,19,1,-1.979
75,1.5,50,19,1,-2.52
76,2.0,50,19,1,-1.89
77,3.0,50,19,1,-1.26
78,0.6,15,22,1,16.334
79,1.0,15,22,1,7.827
80,1.5,15,22,1,4.212
81,2.0,15,22,1,3.159
82,0.6,20,22,1,15.322
83,3.0,15,22,1,2.106
84,1.0,20,22,1,7.151
85,1.5,20,22,1,3.688
86,2.0,20,22,1,2.766
87,0.6,30,22,1,14.392
88,3.0,20,22,1,1.844
89,1.0,30,22,1,6.443
90,1.5,30,22,1,3.142
91,0.6,40,22,1,13.646
92,2.0,30,22,1,2.357
93,3.0,30,22,1,1.571
94,1.0,40,22,1,5.976
95,1.5,40,22,1,2.799
96,3.0,40,22,1,1.399
97,2.0,40,22,1,2.099
98,0.6,50,22,1,13.866
99,1.0,50,22,1,5.705
100,1.5,50,22,1,2.603
101,2.0,50,22,1,1.952
102,3.0,50,22,1,1.301
103,0.6,15,27,1,29.904
104,1.0,15,27,1,17.125
105,1.5,15,27,1,10.411
106,2.0,15,27,1,7.808
107,0.6,20,27,1,29.615
108,3.0,15,27,1,5.205
109,1.0,20,27,1,16.945
110,1.5,20,27,1,10.218
111,2.0,20,27,1,7.663
112,0.6,30,27,1,29.66
113,3.0,20,27,1,5.109
114,1.0,30,27,1,16.885
115,1.5,30,27,1,10.104
116,2.0,30,27,1,7.578
117,0.6,40,27,1,29.398
118,3.0,30,27,1,5.052
119,1.0,40,27,1,16.737
120,1.5,40,27,1,9.973
121,2.0,40,27,1,7.48
122,3.0,40,27,1,4.986
123,0.6,50,27,1,29.964
124,1.0,50,27,1,16.686
125,1.5,50,27,1,9.924
126,2.0,50,27,1,7.443
127,3.0,50,27,1,4.962
128,1.0,15,32,1,16.037
129,0.6,15,32,1,17.493
130,1.5,15,32,1,9.92
131,2.0,15,32,1,7.44
132,0.6,20,32,1,17.13
133,3.0,15,32,1,4.96
134,1.0,20,32,1,15.83
135,1.5,20,32,1,9.74
136,3.0,20,32,1,4.87
137,2.0,20,32,1,7.305
138,0.6,30,32,1,17.938
139,1.0,30,32,1,15.859
140,2.0,30,32,1,7.176
141,1.5,30,32,1,9.568
142,0.6,40,32,1,17.99
143,3.0,30,32,1,4.784
144,1.0,40,32,1,15.88
145,1.5,40,32,1,9.551
146,2.0,40,32,1,7.163
147,3.0,40,32,1,4.775
148,1.5,50,32,1,9.541
149,0.6,50,32,1,18.621
150,1.0,50,32,1,15.886
151,2.0,50,32,1,7.156
152,3.0,50,32,1,4.771
153,1.0,15,42,1,14.772
154,0.6,15,42,1,17.958
155,2.0,15,42,1,7.386
156,1.5,15,42,1,9.848
157,3.0,15,42,1,4.924
158,0.6,20,42,1,17.923
159,1.0,20,42,1,14.758
160,1.5,20,42,1,9.839
161,2.0,20,42,1,7.379
162,3.0,20,42,1,4.919
163,0.6,30,42,1,16.932
164,1.0,30,42,1,14.15
165,1.5,30,42,1,9.434
166,3.0,30,42,1,4.717
167,2.0,30,42,1,7.075
168,0.6,40,42,1,16.147
169,1.0,40,42,1,13.714
170,1.5,40,42,1,9.143
171,2.0,40,42,1,6.857
172,3.0,40,42,1,4.571
173,0.6,50,42,1,15.636
174,1.0,50,42,1,13.468
175,2.0,50,42,1,6.734
176,1.5,50,42,1,8.979
177,3.0,50,42,1,4.489
178,0.6,15,52,1,-15.217
179,1.0,15,52,1,-9.842
180,2.0,15,52,1,-3.697
181,1.5,15,52,1,-4.929
182,3.0,15,52,1,-2.465
183,0.6,20,52,1,-14.965
184,2.0,20,52,1,-3.583
185,1.0,20,52,1,-9.727
186,1.5,20,52,1,-4.778
187,3.0,20,52,1,-2.389
188,0.6,30,52,1,-15.677
189,1.0,30,52,1,-10.199
190,1.5,30,52,1,-7.045
191,2.0,30,52,1,-3.754
192,3.0,30,52,1,-2.502
193,0.6,40,52,1,-16.376
194,1.0,40,52,1,-10.644
195,2.0,40,52,1,-3.932
196,1.5,40,52,1,-7.349
197,3.0,40,52,1,-2.621
198,0.6,50,52,1,-16.844
199,1.0,50,52,1,-10.942
200,2.0,50,52,1,-4.045
201,1.5,50,52,1,-7.555
202,3.0,50,52,1,-2.696
203,0.6,15,60,1,-21.68
204,1.0,15,60,1,-14.152
205,2.0,15,60,1,-6.042
206,1.5,15,60,1,-8.057
207,3.0,15,60,1,-4.028
208,0.6,20,60,1,-21.838
209,1.0,20,60,1,-14.266
210,1.5,20,60,1,-8.069
211,2.0,20,60,1,-6.052
212,3.0,20,60,1,-4.035
213,0.6,30,60,1,-23.728
214,1.0,30,60,1,-15.029
215,1.5,30,60,1,-10.265
216,3.0,30,60,1,-4.252
217,2.0,30,60,1,-6.378
218,0.6,40,60,1,-24.736
219,1.0,40,60,1,-15.66
220,1.5,40,60,1,-10.693
221,2.0,40,60,1,-6.657
222,3.0,40,60,1,-4.438
223,0.6,50,60,1,-25.434
224,1.0,50,60,1,-16.096
