index,ATR_mult,ATR_num,consec_candles,total_R
0,0.6,15,3,56.595
1,0.8,15,3,42.446
2,2.0,15,3,16.978
3,1.0,15,3,33.957
4,3.0,15,3,11.319
5,1.2,15,3,28.297
6,1.6,15,3,21.223
7,2.5,15,3,13.583
8,0.6,15,4,32.012
9,0.8,15,4,24.009
10,1.0,15,4,19.207
11,1.6,15,4,12.004
12,1.2,15,4,16.006
13,2.0,15,4,9.604
14,2.5,15,4,7.683
15,3.0,15,4,6.402
16,0.6,15,5,21.446
17,0.8,15,5,16.085
18,1.0,15,5,12.868
19,1.6,15,5,8.042
20,1.2,15,5,10.723
21,2.0,15,5,6.434
22,2.5,15,5,5.147
23,3.0,15,5,4.289
24,0.6,15,6,8.641
25,0.8,15,6,6.481
26,1.0,15,6,5.185
27,1.2,15,6,4.32
28,1.6,15,6,3.24
29,2.0,15,6,2.592
30,2.5,15,6,2.074
31,3.0,15,6,1.728
32,0.6,15,8,3.305
33,0.8,15,8,2.479
34,1.0,15,8,1.983
35,1.2,15,8,1.653
36,1.6,15,8,1.239
37,3.0,15,8,0.661
38,2.0,15,8,0.992
39,2.5,15,8,0.793
40,0.6,21,3,57.47
41,0.8,21,3,43.102
42,1.0,21,3,34.482
43,1.2,21,3,28.735
44,1.6,21,3,21.551
45,2.0,21,3,17.241
46,2.5,21,3,13.793
47,3.0,21,3,11.494
48,0.6,21,4,32.146
49,0.8,21,4,24.109
50,1.0,21,4,19.287
51,1.2,21,4,16.073
52,1.6,21,4,12.055
53,2.0,21,4,9.644
54,2.5,21,4,7.715
55,3.0,21,4,6.429
56,0.6,21,5,21.519
57,1.0,21,5,12.911
58,0.8,21,5,16.139
59,1.2,21,5,10.759
60,1.6,21,5,8.07
61,2.0,21,5,6.456
62,2.5,21,5,5.165
63,3.0,21,5,4.304
64,0.6,21,6,8.864
65,0.8,21,6,6.648
66,1.6,21,6,3.324
67,1.0,21,6,5.319
68,1.2,21,6,4.432
69,2.0,21,6,2.659
70,2.5,21,6,2.127
71,3.0,21,6,1.773
72,0.8,21,8,2.603
73,0.6,21,8,3.47
74,1.0,21,8,2.082
75,1.6,21,8,1.301
76,2.5,21,8,0.833
77,2.0,21,8,1.041
78,1.2,21,8,1.735
79,3.0,21,8,0.694
80,0.6,27,3,58.024
81,0.8,27,3,43.518
82,1.0,27,3,34.814
83,1.2,27,3,29.012
84,1.6,27,3,21.759
85,2.0,27,3,17.407
86,2.5,27,3,13.926
87,3.0,27,3,11.605
88,0.6,27,4,32.333
89,1.0,27,4,19.4
90,0.8,27,4,24.25
91,1.2,27,4,16.166
92,2.0,27,4,9.7
93,1.6,27,4,12.125
94,2.5,27,4,7.76
95,3.0,27,4,6.467
96,0.6,27,5,21.591
97,0.8,27,5,16.193
98,1.0,27,5,12.954
